      1,           0.,          16.
      2,           0.,          20.
      3,           2.,          18.
      4,           4.,          16.
      5,           2.,          14.
      6,           0.,          12.
      7,           0.,           8.
      8,           2.,          10.
      9,           4.,          12.
     10,           6.,          14.
     11,           4.,          20.
     12,           8.,          20.
     13,          10.,          18.
     14,          12.,          16.
     15,          10.,          14.
     16,           8.,          12.
     17,           8.,          16.
     18,          12.,          12.
     19,          10.,          10.
     20,           8.,           8.
     21,          12.,           8.
     22,          10.,           6.
     23,           8.,           4.
     24,          12.,           4.
     25,          10.,           2.
     26,           8.,           0.
     27,           6.,           2.
     28,          14.,           6.
     29,           0.,           4.
     30,           2.,           2.
     31,           4.,           0.
     32,          12.,           0.
     33,          16.,           0.
     34,          16.,           4.
     35,          18.,           2.
     36,          20.,           0.
     37,          24.,           0.
     38,          24.,           4.
     39,          26.,           2.
     40,          28.,           0.
     41,          32.,           0.
     42,          32.,           4.
     43,          34.,           2.
     44,          36.,           0.
     45,          40.,           0.
     46,          40.,           4.
     47,          42.,           2.
     48,          44.,           0.
     49,          48.,           0.
     50,          48.,           4.
     51,          50.,           2.
     52,          52.,           0.
     53,          56.,           0.
     54,          56.,           4.
     55,          58.,           2.
     56,          60.,           0.
     57,          64.,           0.
     58,          64.,           4.
     59,          66.,           2.
     60,          68.,           0.
     61,          72.,           0.
     62,          72.,           4.
     63,          74.,           2.
     64,          76.,           0.
     65,          80.,           0.
     66,          80.,           4.
     67,          78.,           2.
     68,           4.,           8.
     69,          14.,          18.
     70,          12.,          20.
     71,           6.,          18.
     72,          16.,          16.
     73,          16.,          12.
     74,          16.,           8.
     75,           6.,          10.
     76,          14.,           2.
     77,          20.,           4.
     78,          22.,           2.
     79,          28.,           4.
     80,          30.,           2.
     81,          36.,           4.
     82,          38.,           2.
     83,          44.,           4.
     84,          46.,           2.
     85,          52.,           4.
     86,          54.,           2.
     87,          60.,           4.
     88,          62.,           2.
     89,          68.,           4.
     90,          70.,           2.
     91,          76.,           4.
     92,           4.,           4.
     93,           2.,           6.
     94,           0.,           0.
     95,          20.,           8.
     96,          22.,          10.
     97,          20.,          12.
     98,          18.,          14.
     99,          20.,          16.
    100,          24.,          16.
    101,          26.,          18.
    102,          24.,          20.
    103,          22.,          18.
    104,          20.,          20.
    105,          16.,          20.
    106,           6.,           6.
    107,          26.,           6.
    108,          24.,           8.
    109,          24.,          12.
    110,          28.,          12.
    111,          30.,          14.
    112,          28.,          16.
    113,          28.,          20.
    114,          32.,          20.
    115,          34.,          18.
    116,          36.,          16.
    117,          34.,          14.
    118,          32.,          12.
    119,          32.,          16.
    120,          36.,          12.
    121,          34.,          10.
    122,          32.,           8.
    123,          36.,           8.
    124,          34.,           6.
    125,          22.,           6.
    126,          28.,           8.
    127,          30.,          10.
    128,          26.,          14.
    129,          30.,           6.
    130,          38.,          10.
    131,          38.,           6.
    132,          40.,           8.
    133,          44.,           8.
    134,          46.,          10.
    135,          44.,          12.
    136,          42.,          14.
    137,          44.,          16.
    138,          48.,          16.
    139,          50.,          18.
    140,          48.,          20.
    141,          46.,          18.
    142,          44.,          20.
    143,          40.,          20.
    144,          40.,          16.
    145,          40.,          12.
    146,          50.,           6.
    147,          48.,           8.
    148,          48.,          12.
    149,          52.,          12.
    150,          54.,          14.
    151,          52.,          16.
    152,          52.,          20.
    153,          56.,          20.
    154,          58.,          18.
    155,          60.,          16.
    156,          58.,          14.
    157,          56.,          12.
    158,          56.,          16.
    159,          60.,          12.
    160,          58.,          10.
    161,          56.,           8.
    162,          60.,           8.
    163,          58.,           6.
    164,          46.,           6.
    165,          52.,           8.
    166,          54.,          10.
    167,          50.,          14.
    168,          54.,           6.
    169,          62.,          10.
    170,          62.,           6.
    171,          64.,           8.
    172,          68.,           8.
    173,          70.,          10.
    174,          68.,          12.
    175,          66.,          14.
    176,          68.,          16.
    177,          72.,          16.
    178,          74.,          18.
    179,          72.,          20.
    180,          70.,          18.
    181,          68.,          20.
    182,          64.,          20.
    183,          64.,          16.
    184,          64.,          12.
    185,          74.,           6.
    186,          72.,           8.
    187,          72.,          12.
    188,          76.,          12.
    189,          78.,          14.
    190,          76.,          16.
    191,          76.,          20.
    192,          80.,          20.
    193,          78.,          18.
    194,          70.,           6.
    195,          76.,           8.
    196,          78.,          10.
    197,          74.,          14.
    198,          80.,          16.
    199,          78.,           6.
    200,          80.,           8.
    201,          18.,          18.
    202,          14.,          14.
    203,          18.,          10.
    204,          14.,          10.
    205,          18.,           6.
    206,          22.,          14.
    207,          26.,          10.
    208,          30.,          18.
    209,          42.,          10.
    210,          42.,           6.
    211,          50.,          10.
    212,          46.,          14.
    213,          54.,          18.
    214,          66.,          10.
    215,          66.,           6.
    216,          74.,          10.
    217,          70.,          14.
    218,          80.,          12.
    219,          38.,          18.
    220,          36.,          20.
    221,          42.,          18.
    222,          38.,          14.
    223,          62.,          18.
    224,          60.,          20.
    225,          66.,          18.
    226,          62.,          14.
