Frequency (Hz), Storage (MPa), Loss (MPa) - EP103_S3_1.txt
0.096430, 2296.116082, 247.127031
0.209437, 2563.106023, 256.322460
0.454878, 2757.281535, 233.333976
0.987954, 2975.728524, 240.230416
2.225198, 3315.532893, 237.931603
4.493985, 3266.989941, 233.333976
9.298676, 3339.806221, 286.207383
20.691384, 3582.524685, 270.115515
47.747164, 3388.349173, 302.299427
97.605444, 3849.514626, 309.195867
164.357694, 4165.046593, 329.885537
287.008838, 4359.223031, 366.667076
507.298503, 4456.310787, 380.460306
775.307783, 4796.116082, 408.046416
1213.979257, 5111.650827, 447.126768
