Frequency (Hz), Storage (MPa), Loss (MPa) - EP2016_40.txt
0.130014, 0.113170, 0.043586
0.188196, 0.124601, 0.052639
0.285731, 0.164031, 0.048812
0.449624, 0.148982, 0.060074
0.666551, 0.207214, 0.060074
1.012001, 0.225029, 0.084378
1.670313, 0.288205, 0.096296
2.476179, 0.308711, 0.137830
3.069350, 0.354204, 0.160294
6.354898, 0.406402, 0.242798
9.533986, 0.453645, 0.328393
15.549260, 0.499468, 0.427708
24.468150, 0.589046, 0.600743
38.502784, 0.714055, 0.782426
58.457377, 0.953025, 1.119902
98.814057, 1.063814, 1.431324
141.338078, 1.500097, 2.209339
259.721481, 1.793624, 2.719108
394.325682, 2.393889, 4.358574
690.841907, 2.823230, 5.068945
1210.326887, 3.926718, 7.677964
