Frequency (Hz), Storage (MPa), Loss (MPa) - EP103_H2_2.txt
0.095268, 4286.405825, 90.805273
0.209437, 4553.397618, 72.414591
0.438637, 4771.842754, 35.633053
0.964296, 4917.475315, 139.081229
2.069137, 4917.475315, 51.724921
4.493985, 5063.106949, 81.610020
10.121934, 5160.193779, 104.598504
21.457503, 5111.650827, 51.724921
45.487793, 5160.193779, 33.334064
102.453491, 5475.728524, 100.000702
170.443041, 5718.446988, 173.563954
308.655588, 5985.435077, 203.448878
532.495935, 6203.883918, 224.138548
896.669282, 6398.058504, 251.724658
1289.813923, 6713.592323, 304.598240
