Frequency (Hz), Storage (MPa), Loss (MPa) - EP2016_5.txt
0.181580, 0.459924, 0.225143
0.247618, 0.485923, 0.220934
0.385027, 0.542411, 0.242798
0.525057, 0.520497, 0.266827
0.836141, 0.639691, 0.310316
1.012001, 0.630957, 0.360892
1.650502, 0.797062, 0.506895
2.417795, 0.966217, 0.725531
3.032949, 1.006897, 0.843780
6.508354, 1.419838, 1.514705
10.120018, 1.674483, 2.294330
15.182636, 2.115305, 2.988203
24.761811, 2.635697, 4.612474
41.359963, 3.151425, 5.570589
60.587569, 4.036176, 8.598571
98.814057, 4.892741, 11.851426
148.246570, 6.620572, 15.435647
225.077378, 7.596211, 15.147045
418.563935, 8.958569, 22.943298
716.015597, 10.711511, 30.451357
1036.440090, 13.531411, 38.191557
