Frequency (Hz), Storage (MPa), Loss (MPa) - EP103_H3.txt
0.097605, 2223.299802, 191.954636
0.217191, 2441.746791, 198.851251
0.454878, 2635.922303, 187.357009
0.987954, 2708.736731, 201.150064
2.171911, 2878.640768, 162.069712
4.548777, 2951.455196, 152.874284
9.760540, 2975.728524, 196.552438
21.719121, 3145.630708, 148.276482
46.042442, 3194.173661, 150.575471
102.453491, 3218.446988, 145.977669
152.830757, 3582.524685, 189.655823
260.489270, 3728.155394, 221.839735
422.976458, 3898.057578, 251.724658
630.958220, 3995.145334, 300.000614
1128.838963, 4480.582264, 320.690109
