Frequency (Hz), Storage (MPa), Loss (MPa) - EP2016_35.txt
0.134751, 0.117935, 0.036089
0.190455, 0.142963, 0.039661
0.299698, 0.144942, 0.041186
0.428671, 0.198842, 0.055706
0.733305, 0.193449, 0.054664
1.036439, 0.212989, 0.062385
1.592474, 0.215938, 0.085986
2.566411, 0.284270, 0.101905
3.143467, 0.308711, 0.123073
6.279533, 0.344598, 0.189972
10.241476, 0.412027, 0.266827
15.549260, 0.499468, 0.334650
25.972148, 0.589046, 0.506895
38.964885, 0.657523, 0.739354
61.314727, 0.877574, 0.927284
97.642179, 1.093468, 1.352531
150.025791, 1.381332, 1.664606
204.588351, 1.651621, 2.474246
358.430133, 1.629072, 2.932332
557.332342, 2.328971, 3.747751
1153.921905, 3.284111, 5.068945
