Frequency (Hz), Storage (MPa), Loss (MPa) - EP2016_10.txt
0.190455, 0.321709, 0.116298
0.269185, 0.354204, 0.125418
0.375949, 0.389982, 0.148639
0.557331, 0.389982, 0.172864
0.751012, 0.479289, 0.186420
0.988140, 0.535006, 0.229433
1.573588, 0.605465, 0.304514
2.476179, 0.685205, 0.404164
2.996978, 0.723938, 0.478991
6.508354, 0.927181, 0.797333
10.241476, 1.108603, 1.058255
15.549260, 1.307428, 1.352531
24.468150, 1.563255, 2.294330
38.502784, 1.974796, 2.338044
61.314727, 2.427026, 3.966075
96.484198, 2.982818, 5.570589
163.092956, 3.820231, 6.727727
265.993365, 4.323354, 10.000000
482.990094, 5.537114, 13.024295
778.380878, 5.770242, 16.963225
1300.139346, 7.289310, 23.380427
