Frequency (Hz), Storage (MPa), Loss (MPa) - EP2016_25.txt
0.122485, 0.180600, 0.037477
0.169036, 0.193449, 0.043586
0.265993, 0.231302, 0.049742
0.460481, 0.218927, 0.055706
0.690841, 0.269061, 0.067277
1.024147, 0.288205, 0.062385
1.670313, 0.326161, 0.100000
2.566411, 0.339894, 0.116298
3.032949, 0.369117, 0.140456
6.205061, 0.435318, 0.252139
9.764209, 0.453645, 0.256943
16.115877, 0.542411, 0.354144
24.468150, 0.666624, 0.488118
38.964885, 0.754418, 0.767796
63.549041, 0.953025, 0.944953
96.484198, 1.063814, 1.378302
146.488451, 1.307428, 2.087720
230.512450, 1.343873, 2.569427
394.325682, 1.818449, 2.823709
733.306301, 1.921242, 4.441617
1284.721605, 3.284111, 6.238526
