Frequency (Hz), Storage (MPa), Loss (MPa) - EP2016_50.txt
0.136369, 0.093358, 0.036777
0.222408, 0.121222, 0.045262
0.306935, 0.114736, 0.055706
0.525057, 0.135314, 0.057849
0.724608, 0.122900, 0.069865
1.048878, 0.164031, 0.094495
1.554925, 0.170937, 0.118514
2.566411, 0.188203, 0.179514
3.297118, 0.196127, 0.208772
6.205061, 0.247759, 0.304514
10.241476, 0.304496, 0.354144
16.115877, 0.349368, 0.557060
25.664110, 0.412027, 0.711966
38.502784, 0.527701, 0.892935
61.314727, 0.657523, 1.458595
100.000000, 0.865593, 2.168029
144.751049, 1.171269, 3.103156
275.685937, 1.271972, 5.068945
471.601621, 1.674483, 6.478515
707.524060, 1.793624, 9.813036
1300.139346, 2.901928, 16.334842
