Frequency (Hz), Storage (MPa), Loss (MPa) - EP97_1.txt
0.117877, 0.140331, 0.066197
0.183397, 0.211885, 0.130489
0.300385, 0.263534, 0.060080
0.467351, 0.335815, 0.041767
0.734635, 0.319925, 0.061554
1.178768, 0.361143, 0.051949
1.833973, 0.370003, 0.058642
2.942727, 0.370003, 0.064612
4.819875, 0.427921, 0.067821
7.813706, 0.438420, 0.080361
10.746075, 0.407672, 0.058642
15.241778, 0.397910, 0.066197
20.325244, 0.449176, 0.092941
27.104135, 0.438420, 0.104915
45.315817, 0.507047, 0.140331
61.684831, 0.600803, 0.170358
79.760068, 0.600803, 0.187702
113.128307, 0.615543, 0.206811
147.789181, 0.694848, 0.251064
191.095199, 0.929407, 0.335815
254.829619, 0.999504, 0.361143
336.345386, 1.074890, 0.388381
472.179392, 1.369705, 0.417674
797.601307, 1.546175, 0.494905
1074.607486, 1.745381, 0.545289
1279.801390, 2.018589, 0.615543
1493.161758, 2.278660, 0.803615
