Frequency (Hz), Storage (MPa), Loss (MPa) - EP2016_20.txt
0.144751, 0.178134, 0.045262
0.190455, 0.201594, 0.051655
0.345827, 0.198842, 0.054664
0.518830, 0.254666, 0.073935
0.769148, 0.261764, 0.076780
1.036439, 0.326161, 0.105825
1.630928, 0.354204, 0.107842
2.535975, 0.379406, 0.166461
3.143467, 0.400853, 0.197280
6.279533, 0.520497, 0.293233
10.120018, 0.573072, 0.374775
16.505036, 0.733959, 0.488118
25.664110, 0.754418, 0.711966
38.964885, 0.966217, 0.962957
63.549041, 1.139505, 1.378302
98.814057, 1.400453, 2.087720
150.025791, 1.769136, 2.427985
241.779714, 2.144585, 3.475227
439.023005, 2.709168, 4.277082
690.841907, 3.422380, 6.121879
1300.139346, 4.206108, 8.437809
