Frequency (Hz), Storage (MPa), Loss (MPa) - EP103_S2_2.txt
0.097605, 3873.786102, 403.448790
0.217191, 4116.504567, 297.701625
0.454878, 4456.310787, 277.012130
0.987954, 4650.483522, 325.402812
2.145749, 4820.388484, 300.000614
4.604242, 4966.019193, 297.701625
9.879544, 5135.920451, 293.103999
21.457503, 5257.279684, 392.103999
44.939868, 5330.096890, 348.506372
92.219382, 5412.998148, 486.989097
101.219382, 5499.998148, 490.989097
149.421835, 5642.716613, 330.368263
160.421835, 5742.716613, 344.368263
190.427728, 5769.708405, 320.552175
273.427728, 6009.708405, 396.552175
501.187813, 6058.252283, 428.736087
833.782964, 6325.243150, 479.310680
1305.539870, 6567.961615, 506.896966
