Frequency (Hz), Storage (MPa), Loss (MPa) - EP97_2.txt
0.115478, 0.327774, 0.147301
0.187207, 0.312264, 0.095221
0.300385, 0.397910, 0.143774
0.486968, 0.407672, 0.090715
0.749894, 0.427921, 0.092941
1.215686, 0.449176, 0.104915
1.872067, 0.507047, 0.110126
3.034890, 0.507047, 0.121338
4.721794, 0.519487, 0.147301
7.422251, 0.558667, 0.162297
9.897734, 0.615543, 0.192307
13.894950, 0.646117, 0.197025
18.339729, 0.823330, 0.211885
22.067333, 0.864225, 0.263534
27.953007, 0.885427, 0.276624
36.894711, 0.907151, 0.290364
47.705807, 1.049149, 0.290364
61.054006, 1.213376, 0.276624
86.596420, 1.304891, 0.352495
103.131813, 1.403309, 0.388381
147.789181, 1.584108, 0.471486
195.064640, 1.703584, 0.558667
257.462583, 2.018589, 0.572373
350.463411, 2.224095, 0.661969
421.696462, 2.278660, 0.711896
523.298974, 2.572237, 0.823330
727.121322, 2.903639, 0.975570
949.901499, 3.277738, 1.074890
1215.685258, 3.358152, 1.243144
