Frequency (Hz), Storage (MPa), Loss (MPa) - EP103_S2.txt
0.097605, 4165.046593, 458.621010
0.214575, 4626.213898, 375.862504
0.449398, 5257.279684, 396.552175
0.976054, 5621.357380, 414.943032
2.145749, 5888.349173, 362.069449
4.439852, 6131.067638, 398.172834
10.245344, 6398.058504, 366.667076
21.719121, 6495.145334, 375.862504
44.939868, 6519.417736, 378.161318
93.219382, 6563.048445, 363.862504
101.219382, 6665.048445, 375.862504
137.624765, 6783.495433, 498.540658
174.624765, 6883.495433, 492.540658
195.936637, 7120.388484, 390.322197
327.936637, 7320.388484, 400.322197
495.150730, 7441.747717, 481.609494
854.239356, 7830.096890, 525.287735
1438.451323, 8194.174586, 562.069099
