Frequency (Hz), Storage (MPa), Loss (MPa) - EP2016_30.txt
0.157359, 0.144942, 0.033465
0.244681, 0.159582, 0.037477
0.506597, 0.164031, 0.041186
0.605875, 0.201594, 0.053642
0.797175, 0.193449, 0.054664
1.036439, 0.234504, 0.058951
1.611586, 0.244377, 0.075344
2.417795, 0.265387, 0.100000
3.106188, 0.288205, 0.114124
6.279533, 0.400853, 0.179514
10.364391, 0.395380, 0.204869
15.735879, 0.527701, 0.304514
24.761811, 0.535006, 0.389192
39.432568, 0.694690, 0.711966
60.587569, 0.704306, 0.767796
96.484198, 0.940014, 1.119902
130.013935, 1.139505, 1.572974
217.163906, 1.325526, 2.127498
318.120041, 1.818449, 2.521387
550.722698, 1.606830, 3.891920
1113.352298, 2.709168, 5.068945
