Frequency (Hz), Storage (MPa), Loss (MPa) - EPrim_TATATO_Pa.txt
4.328091, 38.612900, 18.072900
4.332753, 38.904400, 17.099600
4.334126, 38.853800, 18.898600
4.845198, 39.411200, 20.661800
5.447072, 40.202400, 20.941800
5.472656, 40.628800, 22.074600
5.491919, 40.564600, 19.763700
6.102646, 41.217000, 24.205200
6.851118, 42.658500, 24.471700
6.885902, 42.734000, 25.583100
6.899652, 42.270400, 23.067700
7.671818, 43.165300, 28.346100
8.643689, 45.129200, 28.628800
8.675923, 45.136800, 29.851900
8.692100, 44.435100, 26.627000
9.672045, 44.620800, 32.979000
10.907495, 48.044200, 34.666900
10.919195, 48.078200, 33.460300
10.946462, 47.112700, 30.852500
13.653794, 51.407300, 40.360300
13.724910, 51.088900, 38.743100
13.776044, 50.247200, 35.288000
17.165801, 55.833000, 46.751300
17.182748, 55.037300, 45.646200
17.354945, 53.580900, 41.600200
21.571890, 59.613100, 51.939400
21.680911, 60.160200, 54.351000
21.744708, 57.939100, 48.411700
27.224439, 65.128700, 60.521200
27.228109, 64.300900, 62.504500
27.592190, 63.146500, 56.378200
34.389947, 72.078500, 70.229400
34.445858, 68.407700, 71.454400
34.580270, 69.047700, 65.297700
42.091332, 75.283800, 71.653700
43.153658, 72.493200, 79.922700
43.254258, 80.012500, 81.561500
43.401088, 76.707600, 74.736700
52.685942, 83.069400, 82.009700
54.416688, 85.304800, 86.527000
54.437189, 89.531100, 93.136700
66.637425, 93.233500, 93.945200
68.300435, 100.493000, 106.855000
68.692803, 95.464200, 100.732000
83.561343, 104.231000, 107.230000
86.197405, 113.787000, 122.583000
87.346831, 108.774000, 115.436000
105.121980, 116.966000, 123.477000
108.516065, 128.419000, 138.216000
109.807817, 123.358000, 132.034000
132.815700, 133.571000, 139.381000
136.109341, 141.368000, 152.605000
138.533884, 141.479000, 149.466000
168.322978, 152.975000, 157.468000
171.404329, 154.779000, 165.545000
172.724230, 161.538000, 167.650000
212.564543, 174.465000, 177.397000
216.784958, 169.226000, 177.729000
216.931126, 184.403000, 187.441000
265.578264, 199.146000, 197.946000
271.071713, 185.922000, 189.778000
272.821888, 210.956000, 208.713000
333.259889, 227.535000, 219.187000
347.243701, 243.412000, 230.645000
422.166479, 261.351000, 241.736000
434.894600, 279.875000, 253.183000
528.371584, 297.115000, 263.807000
544.536696, 315.993000, 273.343000
664.226376, 337.899000, 284.119000
689.261440, 358.105000, 295.673000
839.220826, 383.539000, 311.496000
868.319026, 403.098000, 315.657000
926.461179, 412.249000, 326.948000
1052.727783, 431.501000, 334.171000
1083.542648, 443.441000, 331.537000
1163.220600, 460.131000, 347.563000
1328.157000, 479.663000, 351.972000
1365.955242, 480.158000, 342.475000
1462.762953, 506.838000, 368.245000
1666.071466, 538.400000, 370.492000
1725.485146, 514.884000, 349.826000
1838.794798, 571.597000, 386.844000
2093.701801, 600.414000, 387.305000
2170.047903, 540.695000, 349.884000
2327.164601, 619.676000, 402.410000
2627.310736, 662.269000, 396.695000
2724.513423, 568.672000, 349.667000
2925.201587, 689.895000, 417.406000
