Frequency (Hz), Storage (MPa), Loss (MPa) - EP103_H3_1.txt
0.096430, 2490.291595, 281.609757
0.214575, 2757.281535, 300.000614
0.449398, 3024.271476, 265.517889
0.987954, 3072.814428, 260.920087
2.145749, 3242.718465, 221.839735
4.660379, 3315.532893, 281.609757
10.121934, 3461.165453, 304.598240
21.457503, 3412.620649, 256.322460
46.603811, 3533.979881, 251.724658
102.453491, 3679.610590, 203.448878
160.421835, 3898.057578, 281.609757
294.050165, 4092.233091, 309.195867
471.720453, 4165.046593, 357.471823
703.670125, 4359.223031, 401.149801
1088.535896, 4699.029252, 454.023384
