Frequency (Hz), Storage (MPa), Loss (MPa) - EP2016_15.txt
0.131574, 0.234504, 0.063574
0.212043, 0.251189, 0.075344
0.371491, 0.326161, 0.084378
0.506597, 0.300339, 0.098130
0.778379, 0.374226, 0.118514
1.036439, 0.406402, 0.148639
1.630928, 0.447452, 0.172864
2.566411, 0.479289, 0.247424
3.069350, 0.513390, 0.266827
6.586471, 0.657523, 0.435857
10.000000, 0.733959, 0.506895
15.549260, 0.877574, 0.782426
25.058996, 1.093468, 1.078418
39.432568, 1.254606, 1.458595
60.587569, 1.563255, 2.087720
95.339864, 2.029844, 2.988203
146.488451, 2.427026, 4.526244
265.993365, 3.065964, 5.570589
488.786827, 3.469753, 6.855918
699.133229, 4.505378, 10.384689
1300.139346, 5.691461, 14.585940
