Frequency (Hz), Storage (MPa), Loss (MPa) - EP103_S3_2.txt
0.097605, 1859.222105, 164.368526
0.211990, 1907.766909, 150.575471
0.443985, 2029.126142, 129.885800
0.987954, 2101.940570, 159.770724
2.119903, 2150.485374, 159.770724
4.548777, 2174.756850, 100.000702
10.370260, 2320.387558, 171.264966
21.457503, 2417.475315, 173.563954
46.042442, 2514.563071, 125.287998
101.219382, 2538.834547, 175.862767
143.845066, 2781.553012, 196.552438
236.420324, 2902.912244, 221.839735
477.471865, 3024.271476, 254.023647
813.817192, 3169.902184, 272.414328
1243.762399, 3388.349173, 304.598240
