Frequency (Hz), Storage (MPa), Loss (MPa) - EP103_H2_1.txt
0.097605, 4796.116082, 488.506109
0.211990, 5257.279684, 472.414241
0.449398, 5475.728524, 304.598240
0.964296, 5669.903110, 513.793406
2.171911, 5669.903110, 304.598240
4.493985, 5888.349173, 295.402812
10.000000, 5839.806221, 300.000614
21.719121, 5912.621575, 263.218900
44.939868, 6058.252283, 265.517889
102.453491, 6179.611516, 210.345493
154.694276, 6519.417736, 297.701625
227.979171, 6737.863799, 357.471823
374.700788, 6859.223031, 414.943032
646.437824, 7101.941496, 410.244065
1128.838963, 7247.573130, 437.931515
