Frequency (Hz), Storage (MPa), Loss (MPa) - EP2016_0.txt
0.146488, 0.808096, 0.578489
0.207043, 0.877574, 0.711966
0.399058, 0.966217, 0.685592
0.598689, 0.927181, 0.843780
0.806743, 1.203917, 1.038470
1.012001, 1.254606, 1.207723
1.611586, 1.584892, 1.761578
2.446813, 1.974796, 2.338044
2.996978, 2.174269, 2.932332
6.205061, 3.151425, 5.895110
10.000000, 4.206108, 7.973327
15.182636, 5.691461, 9.813036
23.891213, 7.289310, 14.863850
38.502784, 7.701354, 22.514341
63.549041, 9.595981, 33.464956
97.642179, 11.473647, 45.262409
138.005579, 15.958237, 54.664436
197.395430, 18.309918, 72.553052
306.935292, 21.892648, 78.242495
544.191441, 24.104014, 89.293491
1024.148502, 30.033911, 116.298390
